Maximilian,21.09.2023,3.0,Bus
Sophia,22.09.2023,15.0,Werkstatt
Jonas,21.09.2023,3.0,Bus
Lena,18.09.2023,13.0,Werkstatt
Lukas,15.09.2023,2.5,Kino
Emma,22.09.2023,42.0,Werkstatt
Nico,18.09.2023,23.0,Werkstatt
Jana,20.10.2023,11.9,Bücher
Timo,25.11.2023,5.0,Walter
Laura,05.11.2023,20.0,Kopierkosten
Leonie,06.11.2023,20.0,Kopierkosten
Felix,14.10.2023,21.4,Kino
Sarah,15.09.2023,33.2,Werkstatt
Janina,30.10.2023,5.3,Werkstatt
Adrian,02.10.2023,7.1,Kino
lena,24.11.2023,11.0,Bus
Sophia,20.11.2023,2.0,Kino
Felix,11.11.2023,10.5,Walter
Jana,22.09.2023,8.2,Bus
Maximilian,05.10.2023,21.3,Kino
Jana,17.10.2023,22.2,Bus
Sarah,08.11.2023,18.5,Kopierkosten
Emma,26.10.2023,10.3,Walter
leNa,18.09.2023,9.4,Kopierkosten
Leonie,04.10.2023,25.0,Werkstatt
Felix,24.10.2023,21.4,Bus
Sarah,11.09.2023,3.2,Kopierkosten
Janina,02.10.2023,10.0,Walter
Adrian,02.11.2023,5.1,Kino
LenA,24.10.2023,3.0,Kino
Anna,15.10.2024,8.73,Walter
Max,22.09.2024,16.45,Bücher
Sophie,02.11.2024,5.62,Kopierkosten
Felix,18.09.2024,12.89,Bus
Laura,28.10.2024,3.21,Werkstatt
Leon,12.10.2024,19.75,Kino
Emma,21.11.2024,7.34,Bus
Tim,10.11.2024,14.27,Kopierkosten
LeNa,26.09.2024,6.89,Kino
Jan,30.11.2024,2.56,Walter
Sophia,17.09.2024,9.43,Bus
Benjamin,25.11.2024,15.78,Werkstatt
Hannah,08.10.2024,4.36,Kopierkosten
Paul,14.11.2024,11.92,Walter
Mia,29.09.2024,2.11,Kino
Julian,05.11.2024,18.64,Werkstatt
Emily,23.10.2024,7.89,Bus
Liam,20.09.2024,13.27,Kino
Amelia,11.11.2024,6.51,Werkstatt
David,27.10.2024,19.34,Kopierkosten
Ella,03.10.2024,12.45,Walter
Luca,26.11.2024,5.67,Bus
Sophie,10.09.2024,10.98,Kino
Leon,21.10.2024,2.76,Walter
Mila,16.11.2024,14.83,Kopierkosten
Elias,04.10.2024,8.21,Bus
Isabella,30.11.2024,16.79,Kino
Alexander,19.09.2024,4.92,Walter
Emma,06.11.2024,11.37,Kopierkosten
Finn,22.10.2024,7.54,Werkstatt
Anna,15.10.2024,8.73,Walter
Max,22.09.2024,16.45,Bücher
Sophie,02.11.2024,5.62,Kopierkosten
Felix,18.09.2024,12.89,Bus
Laura,28.10.2024,3.21,Werkstatt
Leon,12.10.2024,19.75,Kino
Emma,21.11.2024,7.34,Bus
Tim,10.11.2024,14.27,Kopierkosten
leNA,26.09.2024,6.89,Kino
Jan,30.11.2024,2.56,Walter
Sophia,17.09.2024,9.43,Bus
Benjamin,25.11.2024,15.78,Werkstatt
